active,calibration_rounds,candidate_opportunities,condition,deep_faces_global,faces,gate_admissions,gate_deep_window,gate_window,global_spatial_rms_centi,lindsey_fallbacks,lindsey_statuses,lindsey_valid_rounds,max_rounds,methods,mode,parent_scale,round_admitted_prefix,runtime,seed,stages,vertices,window_deep_faces,window_faces,window_nonquad_rms_centi
113,6,704,flat_p78_gauss,52,191,13,0,1,7.236589538151371,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline_k4,0.25,19,2.03,4,3,416,2,9,1.9351666084810057
94,6,693,flat_p78_gauss,18,153,5,0,1,10.110204900437639,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline_k4,0.25,15,2.07,3,3,340,1,8,6.559643465855742
84,6,781,flat_p78_gauss,4,134,1,0,1,13.441022745369454,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,3,2.17,3,3,301,1,8,8.663513532416836
81,6,759,flat_p78_corr01,0,128,0,0,0,7.35562918339703,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.17,2,3,289,0,6,2.260267235381941
100,6,672,flat_p78_clean,28,164,8,0,1,0.31560758971626585,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline_k4,0.25,9,2.49,1,3,363,2,9,0.19600643386595598
81,6,774,flat_p78_gauss_equaln,0,128,0,0,0,1.4498890740137569,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.28,2,3,289,0,6,0.3532701197126555
81,6,756,flat_p97_clean,0,128,0,0,0,0.890466406552228,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.07,1,3,289,0,6,0.2968927803980449
134,6,803,flat_p78_gauss_equaln,104,232,14,0,0,1.6034246646148265,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline_k4,0.25,14,2.07,1,3,499,0,6,0.2203196406580268
81,6,759,flat_p78_gauss,0,128,0,0,0,6.719999189632355,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.09,4,3,289,0,6,1.6710432761071727
81,6,762,flat_p50_clean,0,128,0,0,0,0.3361767649506626,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,1.94,2,3,289,0,6,0.10808248570961708
81,6,756,flat_p97_clean,0,128,0,0,0,0.8926066221997679,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.7,4,3,289,0,6,0.18326776430689437
81,6,756,flat_p78_clean,0,128,0,0,0,0.3799656869196695,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.65,0,3,289,0,6,0.08761174766915042
81,6,762,flat_p50_clean,0,128,0,0,0,0.3136356936450268,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,1.96,0,3,289,0,6,0.07389055441866853
81,6,759,flat_p78_gauss,0,128,0,0,0,7.23216510040178,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.26,2,3,289,0,6,2.289815360106665
81,6,756,flat_p78_clean,0,128,0,0,0,0.3689869254687541,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.61,1,3,289,0,6,0.21264196987925743
81,6,756,flat_p97_clean,0,128,0,0,0,0.8562917557467268,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.09,0,3,289,0,6,0.2148637818259331
