id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
7398,0.1484375,0.0703125,-304.4186517,77.45400871,7,4655,3981,0,0,0,0,0,0,321.932203,373.6775711,315.8101281,6.021548133e-05,0,0,28,13,0.003106244081,0.003106244078,0.323797174
7399,0.1328125,0.0703125,-352.3276775,-418.1440152,7,4655,3349,0,0,0,0,0,0,1643.782429,-77.25321212,1495.733051,6.021548133e-05,0,0,21,12,0.0006083530172,0.0006083530158,1.174964314
7400,0.1328125,0.0859375,-327.193833,-230.2867418,7,4655,3980,0,0,0,0,0,0,5.714606503,93.09868157,5.712640738,6.021548133e-05,0,0,41,26,0.1749901764,0.1749901764,0.5344256097
7401,0.15625,0.0703125,-280.4641388,-229.8542258,7,3981,7045,0,0,0,0,0,0,35.89301575,44.03571628,35.81560693,6.021548133e-05,0,0,33,16,0.0278605734,0.0278605734,1.090425127
7402,0.1484375,0.078125,-291.8517294,-303.3891266,7,7045,4655,0,0,0,0,0,0,1.735044903,-15.91825405,1.73486365,6.021548133e-05,0,0,49,20,0.5763539597,0.5763539597,1.237066652
7403,0.15625,0.0859375,-255.3302942,-265.9103516,7,7045,3753,0,0,0,0,0,0,2.471975748,-9.52578913,2.471607846,6.021548133e-05,0,0,33,12,0.4045347132,0.4045347131,0.8058744762
7404,0.1640625,0.078125,-243.9427036,-150.613535,7,7045,4654,0,0,0,0,0,0,53.04903499,92.19009696,52.88011616,6.021548133e-05,0,0,19,8,0.01885048428,0.01885048428,0.7089591405
7405,0.16015625,0.08203125,-249.6364989,-233.0181257,8,7041,7045,0,0,0,0,0,0,1460.429876,16.57597152,1239.398666,0.000122112991,0,0,8,2,0.0006847298978,0.0006847298955,0.3114962094
7406,0.16796875,0.0859375,-222.9467159,-184.1847778,8,7050,7041,0,0,0,0,0,0,120.332251,21.60093796,118.5896787,0.000122112991,0,0,24,12,0.008310324058,0.008310324054,3.024983388
7407,0.78125,0.6328125,238.0347051,257.0366995,7,3722,5976,0,0,0,0,0,0,8732.944006,18.95566927,5723.298999,6.021548133e-05,0,0,6,5,0.0001145089215,0.000114508921,0.9045905716
7408,0.7734375,0.640625,246.7199357,238.4821362,7,5976,4495,0,0,0,0,0,0,18.16136151,-8.360714651,18.14152203,6.021548133e-05,0,0,290,168,0.05506195113,0.05506195107,31.36729427
7409,0.78125,0.6484375,247.7749385,248.4419686,7,5976,3622,0,0,0,0,0,0,12.88918413,0.6685681369,12.87918823,6.021548133e-05,0,0,627,357,0.07758442967,0.07758442958,30.93074468
7410,0.7890625,0.6484375,243.9598246,240.6447872,7,3622,4494,0,0,0,0,0,0,18.07368824,-3.212977776,18.05403975,6.021548133e-05,0,0,732,385,0.05532904997,0.05532904984,38.28975501
7411,0.8046875,0.6484375,247.0296256,249.5710359,7,4494,3723,0,0,0,0,0,0,30.99709174,2.592045279,30.9393433,6.021548133e-05,0,0,525,255,0.03226109109,0.03226109099,27.18976924
7412,0.8046875,0.6328125,226.5893634,225.0097736,7,4494,3490,0,0,0,0,0,0,78.92328755,-1.324350041,78.5499863,6.021548133e-05,0,0,144,65,0.01267053149,0.01267053145,7.162579584
7413,0.7890625,0.6328125,234.2195912,183.2537285,7,4494,3722,0,0,0,0,0,0,2641.900147,-50.91166618,2279.301386,6.021548133e-05,0,0,18,9,0.0003785154413,0.0003785154379,0.3774662903
7414,0.7890625,0.640625,239.0897079,226.0267513,7,5976,4494,0,0,0,0,0,0,18.268451,-12.9848285,18.24837699,6.021548133e-05,0,0,341,192,0.05473917848,0.05473917841,19.9257928
7415,0.76953125,0.63671875,246.1924343,219.7719503,8,4495,6832,0,0,0,0,0,0,266.8273672,-51.51739348,258.4076481,0.000122112991,0,0,9,4,0.00374774151,0.003747741508,0.1846136489
7416,0.77734375,0.63671875,242.3773204,259.1233061,8,6832,5976,0,0,0,0,0,0,10907.68562,-8.250402182,4677.455147,0.000122112991,0,0,2,2,9.167847651e-05,9.167847651e-05,0.5594772277
7417,0.77734375,0.62890625,237.5072037,244.12083,8,6832,3722,0,0,0,0,0,0,7852.387443,-18.40669309,4008.613793,0.000122112991,0,0,2,2,0.0001273498038,0.0001273498038,0.7661312094
7418,0.76953125,0.62890625,266.0899538,260.4435174,8,6832,5975,0,0,0,0,0,0,52.0216755,-25.86136527,51.6932927,0.000122112991,0,0,9,4,0.01922275648,0.01922275648,0.875000764
7419,0.05859375,0.640625,-195.5449435,-206.9162909,8,6099,6844,0,0,0,0,0,0,239.3849216,13.91726075,232.5859666,0.000122112991,0,0,17,9,0.004177372548,0.004177372545,2.430584504
7420,0.0546875,0.63671875,-228.0086268,-246.8471408,8,6844,6105,0,0,0,0,0,0,163.570152,3.515555461,160.3669756,0.000122112991,0,0,28,14,0.006113584829,0.006113584823,4.187601648
7421,0.05078125,0.640625,-211.8178019,-278.7488891,8,6844,4964,0,0,0,0,0,0,142.4066923,-41.58912825,139.9726096,0.000122112991,0,0,41,22,0.007022141894,0.007022141886,6.263735507
7422,0.0546875,0.64453125,-202.6721876,-205.5225447,8,6844,6104,0,0,0,0,0,0,178.4458383,22.32057351,174.6403286,0.000122112991,0,0,30,17,0.005603941282,0.005603941275,4.207535054
7423,0.14453125,0.42578125,-134.3019669,-134.3019669,8,4763,6674,0,0,0,0,0,0,1e+300,-92.87984586,66.79554663,0,0,0,0,0,0,0,0
7424,0.14453125,0.43359375,-136.2001782,-128.6822169,8,6674,5079,0,0,0,0,0,0,190.8652155,9.821205695,186.5180172,0.000122112991,0,0,1,1,0.005239299354,0.005239299354,0.1351944817
7425,0.15234375,0.43359375,-122.8351557,-122.8351557,8,6674,4513,0,0,0,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
7426,0.15234375,0.42578125,-120.9369444,-120.9369444,8,6674,5082,0,0,0,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
7427,0.140625,0.43359375,-142.8826894,-31.14053988,8,5079,6957,0,0,0,0,0,0,76.80217437,-94.37326325,76.08857439,0.000122112991,0,0,1,1,0.0130204647,0.0130204647,0.33597908
7428,0.14453125,0.4296875,-135.2510725,-65.94997612,8,6957,6674,0,0,0,0,0,0,27.46969479,-137.0806045,27.37785832,0.000122112991,0,0,1,1,0.03640375358,0.03640375358,0.9393596866
7429,0.140625,0.42578125,-140.9844782,-140.9844782,8,6957,4763,0,0,0,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
7430,0.125,0.4296875,-168.6636287,-146.3813943,7,3359,5612,0,0,0,0,0,0,209.8414007,25.17031852,207.2229929,6.021548133e-05,0,0,48,27,0.004765503837,0.004765503832,2.812229525
7431,0.1328125,0.421875,-153.400395,-180.4875834,7,5612,4763,0,0,0,0,0,0,827.4629055,-24.73168058,788.1904665,6.021548133e-05,0,0,18,5,0.001208513389,0.001208513386,1.680534072
7432,0.125,0.4140625,-164.8672062,-65.45176461,7,5612,4514,0,0,0,0,0,0,3638.853094,101.8057916,2984.830985,6.021548133e-05,0,0,11,6,0.0002748118636,0.0002748118625,0.4076925257
7433,0.109375,0.4375,-228.9054469,-210.6614851,6,3359,4515,0,0,0,0,0,0,4.316595537,20.48515613,4.313019842,0.000192060352,0,0,66,39,0.231664049,0.231664049,1.542004698
7434,0.09375,0.421875,-447.4567487,-305.1542595,6,4515,3714,0,0,0,0,0,0,108.3962373,136.7273307,106.1855997,0.000192060352,0,0,5,2,0.009225412477,0.009225412475,0.6679805385
7435,0.078125,0.4375,-345.5926608,-259.923469,6,4515,3330,0,0,0,0,0,0,21.89617267,86.11887253,21.80447641,0.000192060352,0,0,20,13,0.04567008195,0.04567008195,1.524437936
7436,0.09375,0.453125,-273.4438008,-279.1731135,6,4515,3717,0,0,0,0,0,0,3.337380757,-8.123762141,3.335242938,0.000192060352,0,0,59,37,0.2996361737,0.2996361736,2.085118255
7437,0.1015625,0.4140625,-498.3887927,-498.3887927,7,3714,4958,0,0,0,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
7438,0.1015625,0.4296875,-338.1810978,-352.0154176,7,4958,4515,0,0,0,0,0,0,23.06279245,-15.50130184,23.03080871,6.021548133e-05,0,0,22,13,0.04335988377,0.04335988376,0.2347116017
7439,0.1171875,0.4296875,-279.8374909,-278.5971357,7,4958,3359,0,0,0,0,0,0,7.746161928,0.4691298674,7.742550501,6.021548133e-05,0,0,31,19,0.129096191,0.129096191,0.6193178506
7440,0.1171875,0.4140625,-276.0410684,-190.5382217,7,4958,4514,0,0,0,0,0,0,4886.755559,84.23388733,3775.718815,6.021548133e-05,0,0,2,1,0.0002046347496,0.0002046347496,0.2575183783
7441,0.1171875,0.421875,-277.9392796,-197.6711947,7,5612,4958,0,0,0,0,0,0,405.3492143,79.24799266,395.6910688,6.021548133e-05,0,0,11,7,0.002467008606,0.002467008604,4.104418003
